# Generated by get-application-associations.ps1 on 2026-05-04 00:19:25
Association,ProgID
.bmp,XnView.bmp
.cr2,XnView.cr2
.crw,XnView.crw
.dcm,XnView.Image
.dcx,XnView.Image
.dds,XnView.Image
.gif,XnView.gif
.iff,XnView.iff
.img,XnView.Image
.jif,XnView.jif
.jls,XnView.Image
.jp2,XnView.jp2
.jpc,XnView.jpc
.jpe,XnView.jpe
.jpeg,XnView.jpeg
.jpg,XnView.jpg
.nef,XnView.nef
.pbm,XnView.Image
.pcd,XnView.Image
.pcx,XnView.pcx
.pgm,XnView.Image
.pic,XnView.pic
.png,XnView.png
.ppm,XnView.Image
.psd,XnView.psd
.raf,XnView.raf
.ras,XnView.Image
.rle,XnView.Image
.rw2,XnView.Image
.sgi,XnView.Image
.tga,XnView.tga
.tif,XnView.tif
.webp,XnView.webp
.xbm,XnView.Image
.xpm,XnView.Image
